AT;BE;BG;HR;CZ;DK_1;DK_2;EE;FI;FR;DE_LU;GR;HU;IE_SEM;IT_CALA;IT_CNOR;IT_CSUD;IT_NORD;IT_SARD;IT_SICI;IT_SUD;LV;LT;NL;PL;PT;RO;SK;SI;ES;SE_1;SE_2;SE_3;SE_4
12.422;12.422;13.491;12.422;12.422;12.422;11.806000000000001;13.166999999999998;13.166999999999998;12.422;12.422;26.866000000000003;12.422;12.798;18.5;18.5;18.5;18.5;18.5;18.5;18.5;13.166999999999998;13.166999999999998;12.422;12.422;13.001;13.491;12.422;12.422;12.422;11.806000000000001;11.806000000000001;11.806000000000001;11.806000000000001
13.001;13.001;12.422;13.001;13.001;13.001;7.881;11.806000000000001;11.806000000000001;13.001;13.001;26.299;13.001;12.798;17.077;17.077;17.077;17.077;17.077;17.077;17.077;11.806000000000001;11.806000000000001;13.001;13.001;12.0;12.422;13.001;13.001;13.001;7.881;7.881;7.881;7.881
12.0;12.0;13.001;12.0;12.0;12.0;7.393000000000001;7.881;7.881;12.0;12.0;34.917;12.0;12.798;14.889;14.889;14.889;14.889;14.889;14.889;14.889;7.881;7.881;12.0;12.0;11.876000000000001;13.001;12.0;12.0;12.0;7.393000000000001;7.393000000000001;7.393000000000001;7.393000000000001
11.876000000000001;11.876000000000001;12.0;11.876000000000001;11.876000000000001;11.876000000000001;7.394;7.393000000000001;7.393000000000001;11.876000000000001;11.876000000000001;27.410000000000004;11.876000000000001;9.183;12.0;12.0;12.0;12.0;12.0;12.0;12.0;7.393000000000001;7.393000000000001;11.876000000000001;11.876000000000001;11.5;12.0;11.876000000000001;11.876000000000001;11.876000000000001;7.394;7.394;7.394;7.394
11.5;11.5;11.876000000000001;11.5;11.5;11.5;7.144;7.394;7.394;11.5;11.5;27.125;11.5;9.442;11.5;11.5;11.5;11.5;11.5;11.5;11.5;7.394;7.394;11.5;11.5;11.363;11.876000000000001;11.5;11.5;11.5;7.144;7.144;7.144;7.144
11.363;11.363;11.5;11.363;11.363;11.363;7.233;7.144;7.144;11.363;11.363;17.278;11.363;11.668000000000001;11.363;11.363;11.363;11.363;11.363;11.363;11.363;7.144;7.144;11.363;11.363;11.626999999999999;11.5;11.363;11.363;11.363;7.233;7.233;7.233;7.233
11.626999999999999;11.626999999999999;11.363;11.626999999999999;11.626999999999999;11.626999999999999;7.714;7.233;7.233;11.626999999999999;11.626999999999999;27.285000000000004;11.626999999999999;13.2;14.889;14.889;14.889;14.889;14.889;14.889;14.889;7.233;7.233;11.626999999999999;11.626999999999999;13.892;11.363;11.626999999999999;11.626999999999999;11.626999999999999;7.714;7.714;7.714;7.714
13.892;13.892;11.626999999999999;13.892;13.892;13.892;10.248000000000001;7.714;7.714;13.892;13.892;35.417;13.892;17.5;19.158;19.158;19.158;19.158;19.158;19.158;19.158;7.714;7.714;13.892;13.892;14.211000000000002;11.626999999999999;13.892;13.892;13.892;10.248000000000001;10.248000000000001;10.248000000000001;10.248000000000001
15.991999999999999;15.991999999999999;13.892;15.991999999999999;15.991999999999999;15.991999999999999;15.496;10.248000000000001;10.248000000000001;15.991999999999999;15.991999999999999;35.917;15.991999999999999;19.953;19.163;19.163;19.163;19.163;19.163;19.163;19.163;10.248000000000001;10.248000000000001;15.991999999999999;14.083000000000002;14.856;13.892;15.991999999999999;15.991999999999999;15.559000000000001;10.209;10.209;15.496;15.496
16.916999999999998;16.916999999999998;15.991999999999999;16.916999999999998;16.916999999999998;16.916999999999998;16.392;15.496;15.496;16.916999999999998;16.916999999999998;34.917;16.916999999999998;18.8;19.974;19.974;19.974;19.974;19.974;19.974;19.974;15.496;15.496;16.916999999999998;14.219999999999999;15.889;15.991999999999999;16.916999999999998;16.916999999999998;16.916999999999998;10.237;10.237;16.392;16.392
17.118000000000002;17.118000000000002;16.916999999999998;17.118000000000002;17.118000000000002;17.118000000000002;16.707;16.392;16.392;17.118000000000002;17.118000000000002;26.999000000000002;17.118000000000002;19.097;19.849;19.849;19.849;19.849;19.849;19.849;19.849;16.392;16.392;17.118000000000002;14.156;15.49;16.916999999999998;17.118000000000002;17.118000000000002;17.118000000000002;9.965;9.965;16.707;16.707
16.857;16.857;17.118000000000002;16.857;16.857;16.857;16.857;16.707;16.707;16.857;16.857;19.849;16.857;19.23;19.158;19.158;19.158;19.158;19.158;19.158;19.158;16.707;16.707;16.857;14.334;14.671000000000001;17.118000000000002;16.857;16.857;15.49;9.492;9.492;16.857;16.857
16.949;16.949;16.857;16.949;16.949;16.949;16.949;16.857;16.857;16.949;16.949;19.158;16.949;18.5;18.02;18.02;18.02;18.02;18.02;18.02;18.02;16.857;16.857;16.949;14.165000000000001;13.333000000000002;16.857;16.949;16.949;14.671000000000001;10.795;10.795;16.949;16.949
